unique_id,position_title,department,base_salary,gender,employment_status,hire_date,job_date
620,IT PROJECT MANAGER,Houston Fire Department (HFD),96668,Female,Active,1998-04-07,2006-01-28
630,POLICE SERGEANT,Houston Police Department-HPD,81239,Male,Active,1958-12-29,1984-03-17
640,LABORER,Public Works & Engineering-PWE,26125,Female,Active,2001-05-21,2001-05-21
650,SENIOR POLICE OFFICER,Houston Police Department-HPD,,Male,Active,1985-09-03,2002-01-05
660,AIRPORT OPERATIONS SPECIALIST,Houston Airport System (HAS),43826,Male,Active,2004-09-13,2016-03-26
670,"PUBLIC HEALTH DENTIST,DDS",Health & Human Services,100791,Female,Active,2015-12-28,2015-12-28
680,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Female,Active,1998-02-23,2013-03-02
690,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1995-01-30,2010-01-23
700,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1991-07-31,2012-02-04
710,CUSTOMER SERVICE CLERK,Health & Human Services,31387,Female,Active,1997-06-23,2007-02-24
720,COUNCIL INTERN (EXECUTIVE LEVEL),City Council,,Male,Active,2015-06-08,2016-02-13
730,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1998-08-31,2011-04-02
740,ADMINISTRATIVE SPECIALIST,Human Resources Dept.,55939,Female,Active,2011-12-19,2013-11-23
750,SENIOR SIDELOADER OPERATOR,Solid Waste Management,38459,Male,Active,2004-09-07,2005-07-09
760,ADMINISTRATIVE AIDE,Houston Airport System (HAS),36296,Female,Active,1999-07-12,2003-08-23
770,SENIOR CAPTAIN,Houston Fire Department (HFD),78355,Male,Active,1996-06-17,2012-02-06
780,POLICE OFFICER,Houston Police Department-HPD,52514,Male,Active,2010-03-29,2011-03-29
790,POLICE OFFICER,Houston Police Department-HPD,43443,Male,Active,2014-10-13,2015-10-13
800,CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347,Female,Active,1999-09-27,2007-02-27
810,ADMINISTRATIVE SPECIALIST,Fleet Management Department,50249,Female,Active,2007-04-30,2012-09-29
820,FIELD SUPERVISOR,Public Works & Engineering-PWE,44283,Male,Active,1980-08-27,2003-03-08
830,SENIOR POLICE OFFICER,Houston Police Department-HPD,,Male,Active,1976-01-27,2002-01-19
840,ENGINEER/OPERATOR,Houston Fire Department (HFD),62540,Male,Active,2000-03-21,2004-09-25
850,LICENSED VOCATIONAL NURSE,Health & Human Services,48984,Female,Active,2000-12-27,2000-12-27
860,ENGINEER/OPERATOR,Houston Fire Department (HFD),62540,Male,Active,2004-08-03,2013-05-14
870,CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347,Female,Active,2016-05-02,2016-05-02
880,SENIOR CONTRACT ADMINISTRATOR,Municipal Courts Department,79143,Male,Active,2009-09-08,2009-09-08
890,FIELD SUPERVISOR,Public Works & Engineering-PWE,53373,Male,Active,1996-03-04,2005-04-16
900,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1985-05-28,2002-09-14
910,9-1-1 TELECOMMUNICATOR,Houston Emergency Center (HEC),32240,Male,Active,2006-06-26,2006-06-26
920,PROCUREMENT SPECIALIST,Public Works & Engineering-PWE,52156,Male,Active,2014-11-12,2014-11-12
930,CUSTODIAN,Parks & Recreation,26125,Female,Active,1993-10-02,1993-10-02
940,INSPECTOR FIRE,Houston Fire Department (HFD),66523,Male,Active,2004-01-05,2014-04-15
950,POLICE SERGEANT,Houston Police Department-HPD,77076,Male,Active,2001-06-04,2014-03-06
960,POLICE OFFICER,Houston Police Department-HPD,60347,Male,Active,2006-03-20,2007-03-20
970,ASSISTANT CITY CONTROLLER III,City Controller's Office,59077,Female,Active,2013-06-10,2013-06-10
980,UTILITY WORKER,Public Works & Engineering-PWE,29557,Male,Active,2012-02-20,2012-02-20
990,UTILITY WORKER,Public Works & Engineering-PWE,30139,Male,Active,2016-03-21,2016-03-21
1000,LABORER,Houston Airport System (HAS),26125,Female,Active,2001-11-19,2010-04-17
1010,CAPTAIN,Houston Fire Department (HFD),66523,Male,Active,2000-03-21,2009-09-29
1020,CUSTOMER SERVICE CLERK,Library,,Female,Active,2016-02-29,2016-02-29
1030,FIRE FIGHTER,Houston Fire Department (HFD),51194,Male,Active,2009-01-12,2010-07-12
1040,SENIOR PLANT OPERATOR,Public Works & Engineering-PWE,45926,Female,Active,2010-09-07,2015-07-18
1050,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1994-04-11,2014-04-12
1060,ASSISTANT SHOP MANAGER,Fleet Management Department,56971,Male,Active,2004-08-09,2013-10-26
1070,ENGINEER/OPERATOR,Houston Fire Department (HFD),62540,Male,Active,2001-03-20,2004-04-24
1080,ENGINEER/OPERATOR,Houston Fire Department (HFD),63166,Male,Active,1986-03-03,1990-12-08
1090,PUBLIC HEALTH EDUCATOR,Health & Human Services,36650,Female,Active,2015-10-05,2015-10-05
1100,FIELD SUPERVISOR,Public Works & Engineering-PWE,41288,Male,Active,2006-12-11,2015-04-11
1110,FIRE FIGHTER,Houston Fire Department (HFD),51194,Male,Active,2008-06-16,2009-12-16
1120,SENIOR DATA ENTRY OPERATOR,Health & Human Services,31554,Female,Active,1993-10-18,2006-09-02
1130,POLICE LIEUTENANT,Houston Police Department-HPD,91181,Male,Active,1985-07-22,2004-07-17
1140,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Female,Active,1994-06-20,2007-02-24
1150,UTILITY MECHANIC,Public Works & Engineering-PWE,30597,Male,Active,2013-05-28,2013-05-28
1160,ADMINISTRATIVE ASSISTANT,Health & Human Services,44200,Female,Active,1996-10-07,2014-01-18
1170,"FIRE FIGHTER, PROBATIONARY",Houston Fire Department (HFD),40170,Male,Active,2015-07-20,2016-03-10
1180,SENIOR ASSISTANT CITY ATTORNEY I,Legal Department,90957,Female,Active,1998-03-20,2012-07-21
1190,ASSISTANT PROJECT MANAGER,Public Works & Engineering-PWE,,Female,Active,2007-12-31,2007-12-31
1200,ENGINEER/OPERATOR,Houston Fire Department (HFD),62540,Male,Active,2003-03-24,2008-10-04
1210,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1992-10-19,2012-06-09
1220,STAFF EPIDEMIOLOGIST,Health & Human Services,59819,Male,Active,2010-01-11,2012-05-26
1230,POLICE SERGEANT,Houston Police Department-HPD,81239,Male,Active,1998-08-31,2006-01-19
1240,POLICE OFFICER,Houston Police Department-HPD,43443,Female,Active,2014-06-09,2015-06-09
1250,SOLID WASTE SUPERVISOR,Solid Waste Management,61428,Male,Active,1990-09-18,2004-12-11
1260,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1996-10-28,2009-05-30
1270,POLICE SERGEANT,Houston Police Department-HPD,81239,Male,Active,1991-05-13,2004-12-16
1280,ENGINEER/OPERATOR,Houston Fire Department (HFD),61921,Male,Active,2007-02-12,2015-07-17
1290,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1992-06-22,2005-01-01
1300,EQUIPMENT WORKER,Public Works & Engineering-PWE,38646,Male,Active,1989-05-08,2004-09-18
1310,"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,42000,Male,Active,2015-07-06,2016-01-21
1320,RECREATION SPECIALIST,Parks & Recreation,33592,Male,Active,2013-06-22,2013-06-22
1330,INSPECTOR,Public Works & Engineering-PWE,52458,Male,Active,1988-03-30,2008-09-06
1340,SENIOR PROJECT MANAGER,General Services Department,88341,Male,Active,2014-02-03,2014-02-03
1350,POLICE SERGEANT,Houston Police Department-HPD,77076,Male,Active,2003-06-09,2012-02-18
1360,FIRE FIGHTER,Houston Fire Department (HFD),51194,Female,Active,2009-07-27,2010-10-27
1370,POLICE SERGEANT,Houston Police Department-HPD,81239,Female,Active,1991-02-04,2005-02-12
1380,JAIL ATTENDANT,Houston Police Department-HPD,36317,Female,Active,2008-11-24,2013-07-17
1390,CUSTOMER SERVICE CLERK,Health & Human Services,30826,Female,Active,2008-01-14,2008-01-14
1400,POLICE SERGEANT,Houston Police Department-HPD,,Male,Active,1984-05-29,1992-04-30
1410,FIRE FIGHTER,Houston Fire Department (HFD),45791,Male,Active,2013-10-12,2015-01-12
1420,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1991-11-12,2004-06-05
1430,DISTRICT CHIEF,Houston Fire Department (HFD),89590,Male,Active,1993-03-29,2015-07-26
1440,GRAPHIC DESIGNER,Houston Airport System (HAS),52499,Male,Active,2012-03-19,2012-03-19
1450,UTILITY WORKER,Public Works & Engineering-PWE,34798,Male,Active,2007-12-10,2007-12-10
1460,ADMINISTRATIVE ASSOCIATE,Public Works & Engineering-PWE,35942,Female,Active,1992-12-03,2006-12-02
1470,SENIOR STAFF ANALYST,Houston Information Tech Svcs,74951,Female,Active,2014-03-17,2014-03-17
1480,FIRE FIGHTER,Houston Fire Department (HFD),52644,Male,Active,2007-02-26,2006-05-26
1490,POLICE OFFICER,Houston Police Department-HPD,60347,Male,Active,2008-02-04,2009-02-04
1500,ADMINISTRATIVE ASSISTANT,City Controller's Office,64251,Female,Active,1990-12-11,2010-05-01
1510,ENGINEER/OPERATOR,Houston Fire Department (HFD),63166,Male,Active,1985-10-14,1991-05-25
1520,POLICE OFFICER,Houston Police Department-HPD,55461,Male,Active,2011-05-23,2012-05-23
1530,CEMENT FINISHER,Public Works & Engineering-PWE,31491,Male,Active,2012-08-27,2014-01-18
1540,POLICE OFFICER,Houston Police Department-HPD,55461,Male,Active,2008-02-04,2009-02-04
1550,EQUIPMENT OPERATOR III,Houston Airport System (HAS),40435,Male,Active,1990-12-03,2010-06-12
1560,UTILITY WORKER,Public Works & Engineering-PWE,30555,Male,Active,1991-03-04,2004-08-21
1570,SENIOR MICROCOMPUTER ANALYST,Houston Police Department-HPD,62383,Male,Active,2013-07-29,2013-07-29
1580,RECREATION SPECIALIST,Parks & Recreation,30368,Male,Active,2007-10-22,2007-10-22
1590,SENIOR UTILITY MECHANIC,Public Works & Engineering-PWE,40435,Male,Active,1993-07-21,2006-08-19
1600,AIRPORT OPERATIONS SPECIALIST,Houston Airport System (HAS),43826,Male,Active,1989-11-16,2007-12-29
1610,POLICE SERGEANT,Houston Police Department-HPD,74511,Male,Active,2007-10-01,2014-10-08
1620,POLICE OFFICER,Houston Police Department-HPD,47650,Male,Active,2012-06-25,2013-06-25
1630,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1995-06-19,2013-10-12
1640,EQUIPMENT WORKER,Parks & Recreation,29307,Male,Active,2016-01-11,2016-01-11
1650,POLICE SERGEANT,Houston Police Department-HPD,81239,Male,Active,1985-10-14,1997-05-17
1660,FIRE FIGHTER,Houston Fire Department (HFD),43528,Male,Active,2014-03-29,2015-06-30
1670,ADMINISTRATIVE ASSISTANT,Housing and Community Devp.,39666,Male,Active,2007-04-09,2013-07-17
1680,SENIOR INSPECTOR,Public Works & Engineering-PWE,56742,Male,Active,1986-04-14,2008-06-28
1690,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1985-05-28,2002-01-05
1700,ASSISTANT DIRECTOR (EXECUTIVE LEVEL),Houston Airport System (HAS),120916,Male,Active,2004-06-07,2011-12-10
1710,EQUIPMENT WORKER,Parks & Recreation,30347,Male,Active,2004-09-20,2004-09-20
1720,ADMINISTRATION MANAGER,Human Resources Dept.,80790,Male,Active,2015-01-12,2015-01-12
1730,POLICE OFFICER,Houston Police Department-HPD,55461,Male,Active,2006-08-21,2007-08-21
1740,ENGINEER/OPERATOR,Houston Fire Department (HFD),61921,Male,Active,2008-05-19,2014-01-05
1750,LABORER,Houston Airport System (HAS),26125,Male,Active,2015-05-11,2015-05-11
1760,CAPTAIN,Houston Fire Department (HFD),66523,Male,Active,2003-09-15,2012-03-13
1770,ADMINISTRATIVE ASSOCIATE,Dept of Neighborhoods (DON),32386,Female,Active,1979-09-06,2011-09-03
1780,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1982-09-20,2003-03-01
1790,"ASSOCIATE EMS PHYSICIAN DIRECTOR,MD",Houston Fire Department (HFD),210588,Male,Active,2001-09-05,2003-05-10
1800,POLICE OFFICER,Houston Police Department-HPD,47650,Female,Active,2011-05-23,2012-05-23
1810,WEB DESIGNER,Houston Police Department-HPD,59530,Male,Active,2007-07-23,2013-09-28
1820,SURVEILLANCE INVESTIGATOR-EPIDEMIOLOGY,Health & Human Services,45906,Female,Active,2001-07-09,2001-07-09
1830,POLICE OFFICER,Houston Police Department-HPD,47650,Male,Active,2011-05-23,2012-05-23
1840,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1982-12-13,2002-01-05
1850,EQUIPMENT WORKER,Public Works & Engineering-PWE,30347,Male,Active,2014-10-27,2014-10-27
1860,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Female,Active,1989-10-05,2005-03-26
1870,MANAGING ENGINEER,Public Works & Engineering-PWE,110881,Male,Active,2006-03-20,2009-12-12
1880,POLICE OFFICER,Houston Police Department-HPD,47650,Male,Active,2011-12-05,2012-12-05
1890,ADMINISTRATIVE AIDE,Houston Police Department-HPD,30451,Female,Active,2000-08-28,2009-02-07
1900,FIRE FIGHTER,Houston Fire Department (HFD),57815,Male,Active,2001-12-26,2003-01-04
1910,MAINTENANCE MECHANIC III,Houston Airport System (HAS),39707,Male,Active,2013-11-18,2013-11-18
1920,UTILITY WORKER,Public Works & Engineering-PWE,28995,Male,Active,2014-04-28,2014-04-28
1930,SUPERINTENDENT,Houston Airport System (HAS),69514,Male,Active,2006-06-12,2015-07-04
1940,EQUIPMENT WORKER,Public Works & Engineering-PWE,32344,Male,Active,2007-05-14,2012-03-03
1950,UTILITY WORKER,Public Works & Engineering-PWE,30992,Male,Active,1993-09-30,2004-08-21
1960,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1993-02-01,2007-01-27
1970,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Female,Active,1992-08-31,2008-03-08
1980,ADMINISTRATIVE COORDINATOR,Houston Emergency Center (HEC),84456,Female,Active,1987-12-07,2013-12-07
1990,COUNSELOR,Health & Human Services,47382,Female,Active,2008-10-13,2008-10-13
2000,UTILITY WORKER,Public Works & Engineering-PWE,39104,Female,Active,1999-03-29,2006-01-21
2010,FIRE FIGHTER,Houston Fire Department (HFD),43528,Male,Active,2014-09-27,2015-12-27
2020,SENIOR REFUSE TRUCK DRIVER,Solid Waste Management,33675,Male,Active,2014-03-03,2014-03-03
2030,SENIOR MICROCOMPUTER ANALYST,Houston Airport System (HAS),62432,Male,Active,2012-11-26,2014-11-22
2040,FIRE FIGHTER,Houston Fire Department (HFD),57815,Male,Active,2001-10-30,2002-12-21
2050,SENIOR 9-1-1 TELECOMMUNICATOR (CTO),Houston Emergency Center (HEC),57678,Male,Active,2007-11-13,2014-01-18
2060,POLICE OFFICER,Houston Police Department-HPD,55461,Male,Active,2006-05-22,2007-05-22
2070,CUSTOMER SERVICE REPRESENTATIVE II,Health & Human Services,43784,Female,Active,1993-07-16,2012-01-07
2080,MECHANIC III,Fleet Management Department,46010,Male,Active,2004-01-20,2004-01-20
2090,POLICE SERVICE OFFICER,Houston Police Department-HPD,27914,Male,Active,2015-05-26,2015-12-05
2100,ENGINEER/OPERATOR,Houston Fire Department (HFD),62540,Male,Active,2002-05-20,2011-01-14
2110,INSPECTOR,Public Works & Engineering-PWE,53123,Male,Active,2001-05-25,2012-11-24
2120,SENIOR 9-1-1 TELECOMMUNICATOR,Houston Emergency Center (HEC),42432,Female,Active,2008-07-28,2008-07-28
2130,SENIOR POLICE OFFICER,Houston Police Department-HPD,,Male,Active,1978-12-18,2002-01-05
2140,MOBILITY SERVICE OFFICER,Houston Police Department-HPD,42370,Male,Active,2007-06-04,2007-06-04
2150,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1993-04-12,2002-01-05
2160,MECHANIC III,Fleet Management Department,46155,Male,Active,1994-12-29,2007-12-05
2170,HUMAN RESOURCES GENERALIST,Human Resources Dept.,37274,Female,Active,2007-09-08,2012-12-22
2180,GIS MANAGER,Houston Information Tech Svcs,102019,Male,Active,2006-11-13,2013-07-06
2190,ADMINISTRATIVE AIDE,Solid Waste Management,37045,Female,Active,2014-04-28,2014-04-28
2200,ADMINISTRATIVE COORDINATOR,Municipal Courts Department,58396,Female,Active,2012-05-14,2016-01-16
2210,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1979-02-12,2004-06-05
2220,SHOP MANAGER,Fleet Management Department,58302,Male,Active,2008-02-25,2008-02-25
2230,ENGINEER/OPERATOR,Houston Fire Department (HFD),62540,Male,Active,2001-03-20,2005-10-08
2240,EQUIPMENT WORKER,Public Works & Engineering-PWE,30347,Male,Active,2016-02-29,2016-02-29
2250,EQUIPMENT OPERATOR III,Solid Waste Management,36941,Male,Active,2012-03-05,2015-01-03
2260,ADMINISTRATIVE SPECIALIST,Houston Fire Department (HFD),58040,Female,Active,1995-05-23,2015-11-21
2270,SENIOR CAPTAIN,Houston Fire Department (HFD),74270,Female,Active,2001-12-26,2014-02-15
2280,SENIOR POLICE TELECOMMUNICATOR,Houston Police Department-HPD,46675,Female,Active,2011-03-21,2012-07-07
2290,FINANCIAL ANALYST III,Houston Police Department-HPD,59182,Female,Active,1985-04-15,2009-07-25
2300,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Female,Active,1996-07-29,2009-02-21
2310,EQUIPMENT WORKER,Public Works & Engineering-PWE,33987,Female,Active,2013-07-29,2013-12-21
2320,SENIOR CAPTAIN,Houston Fire Department (HFD),78355,Male,Active,1996-11-18,2014-03-10
2330,INSPECTOR,Public Works & Engineering-PWE,47382,Male,Active,2013-12-09,2013-12-09
2340,POLICE SERGEANT,Houston Police Department-HPD,81239,Male,Active,1982-09-20,1990-05-12
2350,SENIOR STAFF ANALYST,Finance,93168,Male,Active,2008-05-27,2013-01-19
2360,FIRE FIGHTER,Houston Fire Department (HFD),45791,Female,Active,2013-08-31,2014-12-01
2370,SENIOR COUNCIL AIDE (EXECUTIVE LEVEL),City Council,100000,Female,Active,2005-03-10,2014-01-02
2380,ASSISTANT DIRECTOR (EXECUTIVE LEVEL),Admn. & Regulatory Affairs,130416,Female,Active,2002-05-24,2013-07-20
2390,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1995-04-10,2007-10-06
2400,TECHNICAL  HARDWARE  ANALYST  III,Houston Police Department-HPD,62338,Male,Active,2013-06-03,2013-06-03
2410,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1992-08-31,2013-03-02
2420,SENIOR HUMAN RESOURCES GENERALIST,Human Resources Dept.,50882,Female,Active,2015-01-20,2015-01-20
2430,FIELD SUPERVISOR,Public Works & Engineering-PWE,45490,Male,Active,1991-01-28,2004-01-24
2440,CUSTOMER SERVICE REPRESENTATIVE III,Municipal Courts Department,47486,Female,Active,1988-01-07,2013-02-16
2450,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1983-10-03,2004-04-10
2460,CAPTAIN,Houston Fire Department (HFD),66523,Male,Active,2001-10-30,2014-03-28
2470,ADMINISTRATIVE ASSISTANT,Human Resources Dept.,40830,Female,Active,1994-02-01,2011-01-22
2480,"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170,Male,Active,2016-01-04,2016-04-07
2490,COMMUNITY RELATIONS SPECIALIST,Health & Human Services,32802,Male,Active,2014-10-13,2014-10-13
2500,STAFF ANALYST,Solid Waste Management,75041,Female,Active,1992-10-21,2015-07-18
2510,POLICE OFFICER,Houston Police Department-HPD,47650,Male,Active,2013-02-04,2014-02-04
2520,RECREATION ASSISTANT,Parks & Recreation,,Male,Active,2016-05-21,2016-05-21
2530,"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,42000,Male,Active,2015-10-12,2016-04-27
2540,OFFICE SUPERVISOR,Public Works & Engineering-PWE,38542,Male,Active,2013-10-28,2014-06-21
2550,FIRE FIGHTER,Houston Fire Department (HFD),51194,Male,Active,2009-01-12,2010-07-12
2560,CUSTOMER SERVICE REPRESENTATIVE III,Municipal Courts Department,44782,Female,Active,1987-12-31,2014-06-07
2570,CUSTOMER SERVICE REPRESENTATIVE III,Public Works & Engineering-PWE,35485,Female,Active,2005-05-28,2015-05-23
2580,FIRE FIGHTER,Houston Fire Department (HFD),45791,Male,Active,2014-01-04,2015-04-04
2590,LABORER,Houston Airport System (HAS),26125,Male,Active,2015-05-26,2015-05-26
2600,DIVISION MANAGER,Finance,95773,Female,Active,2010-01-25,2013-12-07
2610,POLICE OFFICER,Houston Police Department-HPD,47650,Male,Active,2011-05-23,2012-05-23
2620,MAINTENANCE MECHANIC III,Fleet Management Department,37835,Male,Active,2010-11-01,2012-01-21
2630,CAPTAIN,Houston Fire Department (HFD),66523,Male,Active,2001-12-26,2015-03-16
2640,FIRE FIGHTER,Houston Fire Department (HFD),48190,Male,Active,2012-06-25,2013-09-25
2650,POLICE OFFICER,Houston Police Department-HPD,55461,Male,Active,2006-06-26,2008-02-09
2660,LABORATORY MANAGER,Health & Human Services,81849,Female,Active,2008-05-19,2014-06-07
2670,POLICE OFFICER,Houston Police Department-HPD,55461,Female,Active,2007-08-13,2008-02-26
2680,CUSTOMER SERVICE REPRESENTATIVE I,Health & Human Services,30347,Female,Active,2012-11-13,2012-11-13
